#,NAME,channel_name,total_subscribers,total_views,total_videos
1,Austin Evans@UCXGgrKt94gR6lmN4aN3mYTg,iJustine,7100000,1485262436,2160
2,TechSource@UChIZGfcnjHI0DG4nweWEduw,Austin Evans,5570000,812566695,1701
3,NetworkChuck @UC9x0AN7BWHpCDHSm9NiJFJQ,NetworkChuck,4190000,282872381,449
4,Think Media@UCGxjDWAN1KwrkXYVi8CXtjQ,TechSource,3820000,365834165,2259
5,The Crusher@UCcssy9sV4r8R5rcVY4ge8ig,Think Media,3060000,484152840,1041
6,TTI - English@UCmeBJBLXcXamuPWl-0t5S4w,BattleBots,2130000,474775819,555
7,Sky Creative HD@UCXCCzVuJIJ9jLYWi6IV_XZA,Flossy Carter,2020000,336204501,157
8,LGR@UCLx053rWZxCiYWsBETgdKrQ,The Crusher,1960000,562484780,1233
9,Destiny@UCIFtADcWrOApqrsinzPoOfA,Branch Education,1930000,320679955,269
10,sakitech@UCKlOmM_eB0nzTNiDFZibSSA,Pocketnow,1820000,465049552,2906
11,POWERNATION@UCQxdMMwjFXLcPQ65M-8MByg,TTI English - Technology ,1760000,444586613,3057
12,MC tech@UCW7mEejBDBJZPplN_v1XYRA,Destiny,1740000,238049174,572
13,MrMobile [Michael Fisher]@UCSOpcUkE-is7u7c4AkLgqTw,LGR,1730000,234549427,1181
14,Snazzy Labs@UCO2x-p9gg9TLKneXlibGR7w,Sky Creative HD,1700000,530679635,533
15,BattleBots@UCxNDM5ZhvDa_Z1qTUap7IRw,POWERNATION,1630000,305847102,1900
16,KenTT@UC8DXSGBmnbQbhzcaX2imFyQ,Jon Rettinger,1630000,73964357,45
17,MobileTechReview@UCW6J17hZ_Vgr6cQgd_kHt5A,Chop Busters,1520000,105911428,709
18,Branch Education@UCdp4_l1vPmpN-gDbUwhaRUQ,sakitech,1370000,206462180,1327
19,Sara Dietschy@UC3fg6pL63upkXCc0T203wVg,Hipyo Tech,1300000,154650701,715
20,Future Tech Short@UCPBIhiri5v4-cw1j6s8_1BQ,MrMobile [Michael Fisher],1250000,113342762,426
21,Greg Salazar@UCmbkRUS_4Efdt5UIhwNqtcw,Brandon Butch,1240000,100303647,540
22,City Prepping@UCmb2QRAjdnkse21CtxAQ-cA,Snazzy Labs,1170000,369023651,2684
23,Sammyreact@UClzydPcUILmepZchThSn4UA,City Prepping,1090000,179475762,1455
24,Multi Electric@UCdmU06WV0WRsnCpikOZb1GQ,Crypto Banter,1080000,15157700,53
25,Nick Ackerman@UCWsEZ9v1KC8b5VYjYbEewJA,Danny Winget,1030000,119657251,308
26,TheUnlockr@UCaDBRJTQhIg_QhCkW7SxWGQ,MobileTechReview,951000,118617690,93
27,Coding Tech@UCtxCXg-UvSnTKPOzLH4wJaQ,Sara Dietschy,929000,133912775,1846
28,RaRe iTech@UCCATX7Vu9dpNFwtCRqnnMew,YouFact Tech,929000,3457635,557
29,You Tech@UCGfr1FclscwCp7aVJw3C1Zw,Greg Salazar,895000,211578128,923
30,mryeester@mryeester,RaRe iTech,853000,139789583,3213
31,Tek Syndicate@UCNovoA9w0KnxyDP5bGrOYzg,Nick Ackerman,828000,264482601,1107
32,TecH College@UCP9W_1q77_IjcUc7c5pzFrg,Multi Electric,803000,187311878,9683
33,savagegeese@UCgUvk6jVaf-1uKOqG8XNcaQ,AuthenTech - Ben Schmanke,778000,149556782,2996
34,Crypto Banter@UCN9Nj4tjXbVTLYWN0EKly_Q,TheUnlockr,778000,76625564,1663
35,Danny Winget@UCGq7ov9-Xk9fkeQjeeXElkQ,savagegeese,758000,68767925,708
36,TechCrunch@UCCjyq_K1Xwfg8Lndy7lKMpA,Sammyreact,755000,505248772,748
37,Top 10 Zone@UCIuzVTzlua6NMMzDzmYCsZQ,Coding Tech,730000,299519305,1755
38,AppFind@UCw185nSrRQ8kW1uFO4l0CFg,Maisy Leigh,697000,59513884,1191
39,Moment@UCDqzuoZDmQ1u9oNZ_F3zi4A,You Tech,680000,257860,84
40,Hipyo Tech@UCXlDgfWY2JbsYEam2m68Hyw,Tina Huang,677000,93344209,490
41,iLuvTrading@UC1b4mfcfGZ6KJwWvIFb4OnQ,Tek Syndicate,671000,104721960,47
42,Terry Lee White@UC-oYkx9wyeGc6Sh8tkVlaTw,USA DIY,663000,38851381,11
43,Chop Busters@UCftgtvJuqbj5ZK-MuuxKhMw,Matt Talks Tech,650000,365096785,950
44,Tech Gear Talk@UCpHvDA_ladtos5LKzl8TzkA,Chris Titus Tech,637000,155372978,864
45,Design Construction Creative@UC6lHFZtcyNuZTzuZVBv0Rgg,TechCrunch,605000,31589684,228
46,INNOVATION@UC9x_cf75NamRwIo3sRIrrvA,AppFind,599000,408167376,748
47,AuthenTech - Ben Schmanke@UCgyvzxg11MtNDfgDQKqlPvQ,Tech Gear Talk,597000,231485207,5816
48,Tech Timmers@UCgRLAmjU1y-Z2gzOEijkLMA,Booredatwork.com,595000,35971740,140
49,Tina Huang@UC2UXDak6o7rBm23k3Vv5dww,TecH College,594000,92992745,746
50,YouFact Tech@UCSWZxpzUTkriCZRe0Nl0UqA,Top 10 Zone,575000,95966438,881
51,Booredatwork.com@UC5lDVbmgb-sAcx2fjwy3KQA,Moment,559000,187993670,3182
52,SOLDADO COKE@UCGzxRY_ypWa0nOvAV9rOHaw,DC Rainmaker,538000,131106267,1234
53,DailyTekk@UC-tZk0bsaiq9KANWZ2BPO8w,iLuvTrading,536000,75272124,446
